Year,Filière,Produit,Production,Superficie
2013,Agrumes,Orange_Navel late,2130.2,543.869999999999
2013,Agrumes,Orange_Navelina,114.825,86.00999999999999
2013,Agrumes,Orange_Salustiana,19226.14,1088.58
2013,Agrumes,Orange_Washignton sanguine,56246.880000000005,3235.46
2013,Agrumes,Pamplemousse,120.0,38.0
2013,Agrumes,Petit fruit_Autres,43961.443225806375,6097.910000000001
2013,Agrumes,Petit fruit_Clémentine,379378.2299999992,29279.85
2013,Agrumes,Petit fruit_Fortune,864.0,48.0
2013,Agrumes,Petit fruit_Nador cott,59806.0,3647.26
2013,Agrumes,Petit fruit_Nour,95309.59999999998,7193.86
2013,Agrumes,Petit fruit_Nova,7679.133333333333,582.92
2013,Agrumes,Petit fruit_Nules,59739.42446575343,7360.74
2013,Agrumes,Petit fruit_Ortanique,8309.2,456.49
2013,Amandiers,Amandier,93310.29,155544.76
2013,Céréales,Avoine,46331.33,31230.0
2013,Céréales,Blé dur,1897234.0200499194,943227.12
2013,Céréales,Blé tendre,5036748.616166229,2241323.86
2013,Céréales,Mais,118135.84999999999,177248.0
2013,Céréales,Orge,2722621.5154945673,1952472.0
2013,Céréales,Riz,37716.2999999999,5000.0
2013,Céréales,Sorgho,4840.0,4550.0
2013,Fourragères,Avoine vert,601783.0,32899.0
2013,Fourragères,Bersim,3400658.0,67563.0
2013,Fourragères,Lupin,35244.0,1310.0
2013,Fourragères,Luzerne,5882235.0,108818.0
2013,Fourragères,Mais fourrager,2268752.0,51025.0
2013,Fourragères,Mélange fourrager,246495.0,21139.0
2013,Fourragères,Orge fourrager,1702486.0,111456.0
2013,Fourragères,Pois fourrager,71035.0,15750.0
2013,Fourragères,Sorgho fourrager,32515.0,774.0
2013,Fourragères,Triticale,1806.6,449.0
2013,Fourragères,Vesce avoine,170775.0,15750.0
2013,Industrielles,Autres Cultures Industrielles,64.0,0.08
2013,Industrielles,Coriandre récoltée,400.0,200.0
2013,Industrielles,Câprier,28400.0,22445.0
2013,Industrielles,Henné,892.0,1540.0
2013,Industrielles,Safran,4.8,900.0
2013,Industrielles,Sorgho a balais,112.0,140.0
2013,Industrielles,Tabac,360.0,410.0
2013,Légumineuses,Autres légumineuses,30282.675,25177.0
2013,Légumineuses,Fève,153387.93,202790.0
2013,Légumineuses,Lentille,42948.8499999999,53266.0
2013,Légumineuses,Orobe,1360.0,3700.0
2013,Légumineuses,Petit pois,36328.399999999994,55091.0
2013,Légumineuses,Pois chiche,24923.8,56939.0
2013,Maraîchage,Ail,6784.0,1058.0
2013,Maraîchage,Artichaut,62073.6,3487.0
2013,Maraîchage,Asperge,0.0,0.0
2013,Maraîchage,Aubergine,71976.6,2782.75
2013,Maraîchage,Autres cultures maraichères,317658.52,16461.5
2013,Maraîchage,Betterave potager,33686.5,1155.0
2013,Maraîchage,Carotte,509370.5,14013.5
2013,Maraîchage,Choux fleur,48162.0,1702.0
2013,Maraîchage,Choux pomme,95426.0,3072.3
2013,Maraîchage,Concombre,48246.2,1289.45
2013,Maraîchage,Courge courgette,224314.85,8089.0
2013,Maraîchage,Fraisier,145233.0,3526.0
2013,Maraîchage,Framboise,9901.59199999998,749.999999999999
2013,Maraîchage,Fève verte,154415.0,11830.0
2013,Maraîchage,Haricot vert,154663.0,6155.7
2013,Maraîchage,Melon,700034.5,21636.5
2013,Maraîchage,Menthe,87601.5,3490.5
2013,Maraîchage,Myrtille,4864.097106582169,349.9999999999996
2013,Maraîchage,Navet,171286.6,7302.0
2013,Maraîchage,Niora,21181.0,993.6
2013,Maraîchage,Oignon,929866.0,33653.5
2013,Maraîchage,Oignon vert,7422.3,492.0
2013,Maraîchage,Pastèque,611474.0,14104.0
2013,Maraîchage,Patate douce,26450.0,1079.0
2013,Maraîchage,Petit Pois vert,125482.0,23203.2
2013,Maraîchage,Piment poivron,179859.0,4844.8
2013,Maraîchage,Pomme de terre,1928606.3,53047.6
2013,Maraîchage,Tomate,1293319.5,14016.9
2013,Oliviers,Olivier,1174698.1220000004,922234.5399999997
2013,Oléagineuses,Arachide,38790.0,16300.0
2013,Oléagineuses,Sésame,375.0,625.0
2013,Oléagineuses,Tournesol,18989.0,17006.0
2013,Palmiers-Dattiers,Palmier dattier,111924.0,57384.0
2013,Rosacées,Abricotier,100690.095,12297.082400000001
2013,Rosacées,Autres plantations fruitières,58185.5,17083.86
2013,Rosacées,Avocatier,28079.5,2409.2
2013,Rosacées,Bananier,302769.0,9240.6
2013,Rosacées,Caroubier,3705.0,673.9
2013,Rosacées,Cerisier,15199.4,1640.0
2013,Rosacées,Cognassier,45369.549999999996,3501.5699999999993
2013,Rosacées,Figuier,112537.36138999999,54674.29999999999
2013,Rosacées,Grenadier,122722.67,9886.349999999993
2013,Rosacées,Noyer,14235.17499999999,6837.95
2013,Rosacées,Néflier,6148.67,435.6
2013,Rosacées,Pacanier,209.0,75.0
2013,Rosacées,Pistachier,113.7,65.0
2013,Rosacées,Poirier,43041.77399999998,3176.33
2013,Rosacées,Pommier,583230.4237586891,41771.47389999988
2013,Rosacées,Prunier,109363.02837199846,14617.998135953256
2013,Rosacées,Pêcher-nectarine,76104.56,6403.33
2013,Sucrières,Betterave à sucre,2142221.0,37205.0
2013,Sucrières,Canne à sucre,619561.0,15457.0
2013,Vignes,Raisin de cuve,109572.72739999999,9241.9776
2013,Vignes,Raisin de table,223702.42501925185,33219.86055
2014,Agrumes,Autres agrumes,13260.619999999999,776.625
2014,Agrumes,Citron,26450.58857142856,2758.401367924528
2014,Agrumes,Orange_Autres,27276.649999999976,3702.3899999999994
2014,Agrumes,Orange_Maroc late,495882.4323076921,23497.12882352941
2014,Agrumes,Orange_Navel,348606.4808450703,18352.48941101152
2014,Agrumes,Orange_Navel lane late,14940.0,1421.68
2014,Agrumes,Orange_Navel late,7524.999999999993,1669.7099999999991
2014,Agrumes,Orange_Navelina,246.0,148.21
2014,Agrumes,Orange_Salustiana,28586.99999999997,1088.58
2014,Agrumes,Orange_Washignton sanguine,78182.62,3313.16
2014,Agrumes,Pamplemousse,475.0,42.0
2014,Agrumes,Petit fruit_Autres,75335.75999999995,6759.199999999999
2014,Agrumes,Petit fruit_Clémentine,646625.8060606043,30541.35
2014,Agrumes,Petit fruit_Fortune,1008.0,48.0
2014,Agrumes,Petit fruit_Nador cott,82984.0,3936.26
2014,Agrumes,Petit fruit_Nour,190753.90117646992,7164.74
2014,Agrumes,Petit fruit_Nova,10802.5,763.8699999999999
